,nom_ecole,geometry,note_vetuste,note_vetuste_count,note_encadrement,note_encadrement_count,note_climat,note_climat_count,note_cantine,note_cantine_count,note_abord_securise,note_abord_securise_count,ecole
57,Ecole élémentaire Billières Etienne,POINT (1.420903146094662 43.5881463506393),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole élémentaire Billières Etienne
58,Ecole élémentaire Château de l'Hers,POINT (1.485383645981417 43.600667239802526),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole élémentaire Château de l'Hers
59,Ecole élémentaire De Gouges Olympe,POINT (1.439761499442563 43.65416498570646),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole élémentaire De Gouges Olympe
60,Ecole élémentaire Dottin Paul,POINT (1.399135226687609 43.5605838901044),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole élémentaire Dottin Paul
61,Ecole élémentaire Guilhermy,POINT (1.372182901498191 43.56726854652503),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole élémentaire Guilhermy
62,Ecole élémentaire Jaurès Jean,POINT (1.451389037926785 43.58906920122396),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole élémentaire Jaurès Jean
63,Ecole élémentaire Jolimont,POINT (1.467802769909187 43.61384525336196),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole élémentaire Jolimont
64,Ecole élémentaire Juncasse (La),POINT (1.471681445312581 43.61747026278543),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole élémentaire Juncasse (La)
65,Ecole élémentaire Lespinasse,POINT (1.434868155508791 43.59767677435284),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole élémentaire Lespinasse
66,Ecole élémentaire Mailhos Georges,POINT (1.497350638134852 43.56688179688049),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole élémentaire Mailhos Georges
67,Ecole élémentaire Maourine (La),POINT (1.449192003737622 43.62999998539322),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole élémentaire Maourine (La)
68,Ecole élémentaire Niboul,POINT (1.450201873819664 43.64001046118509),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole élémentaire Niboul
69,Ecole élémentaire Nord,POINT (1.441569178717667 43.61083050154388),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole élémentaire Nord
70,Ecole élémentaire Patte d'Oie,POINT (1.424429908728688 43.59547619192455),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole élémentaire Patte d'Oie
71,Ecole élémentaire Ronsard,POINT (1.407549606791631 43.58432358678114),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole élémentaire Ronsard
72,Ecole élémentaire Sauzelong,POINT (1.461833186485291 43.58099905905155),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole élémentaire Sauzelong
73,Ecole élémentaire Sermet,POINT (1.442107933145435 43.60718317420983),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole élémentaire Sermet
74,Ecole élémentaire Tibaous (Les),POINT (1.385035188271436 43.550311246802266),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole élémentaire Tibaous (Les)
75,Ecole élémentaire Vergers (Les),POINT (1.398487333943913 43.581286932992626),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole élémentaire Vergers (Les)
76,Ecole élémentaire Aubrac Lucie,POINT (1.433864914863379 43.62971375902334),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole élémentaire Aubrac Lucie
77,Ecole élémentaire Bastide Georges,POINT (1.3982910586497 43.560144924999804),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole élémentaire Bastide Georges
